,au_rand_flooding,duplicated_encapsulated_payload,duplicated_iocap,truncated_sco_link_request,feature_response_flooding,invalid_feature_page_execution,lmp_auto_rate_overflow,lmp_overflow_dm1,truncated_lmp_accepted,invalid_setup_complete,invalid_timing_accuracy
au_rand_flooding,0.9705882352941176,0.0,0.007352941176470588,0.0,0.0,0.0,0.0,0.007352941176470588,0.014705882352941176,0.0,0.0
duplicated_encapsulated_payload,0.058823529411764705,0.23529411764705882,0.058823529411764705,0.17647058823529413,0.0,0.17647058823529413,0.11764705882352941,0.0,0.11764705882352941,0.0,0.058823529411764705
duplicated_iocap,0.09523809523809523,0.047619047619047616,0.2698412698412698,0.14285714285714285,0.09523809523809523,0.20634920634920634,0.015873015873015872,0.0,0.12698412698412698,0.0,0.0
truncated_sco_link_request,0.0,0.030303030303030304,0.13636363636363635,0.13636363636363635,0.09090909090909091,0.07575757575757576,0.015151515151515152,0.0,0.5,0.0,0.015151515151515152
feature_response_flooding,0.02040816326530612,0.02040816326530612,0.02040816326530612,0.02040816326530612,0.8775510204081632,0.0,0.0,0.0,0.02040816326530612,0.02040816326530612,0.0
invalid_feature_page_execution,0.04878048780487805,0.0,0.1951219512195122,0.14634146341463414,0.04878048780487805,0.0975609756097561,0.024390243902439025,0.04878048780487805,0.34146341463414637,0.0,0.04878048780487805
lmp_auto_rate_overflow,0.06451612903225806,0.06451612903225806,0.0967741935483871,0.06451612903225806,0.12903225806451613,0.06451612903225806,0.0,0.03225806451612903,0.3870967741935484,0.0,0.0967741935483871
lmp_overflow_dm1,0.02631578947368421,0.02631578947368421,0.05263157894736842,0.23684210526315788,0.13157894736842105,0.13157894736842105,0.0,0.05263157894736842,0.2631578947368421,0.0,0.07894736842105263
truncated_lmp_accepted,0.0,0.0,0.018518518518518517,0.1111111111111111,0.12962962962962962,0.05555555555555555,0.018518518518518517,0.0,0.6666666666666666,0.0,0.0
invalid_setup_complete,0.0,0.0625,0.0,0.0,0.25,0.0,0.0,0.0625,0.4375,0.125,0.0625
invalid_timing_accuracy,0.027777777777777776,0.027777777777777776,0.1111111111111111,0.1111111111111111,0.16666666666666666,0.08333333333333333,0.0,0.08333333333333333,0.3611111111111111,0.0,0.027777777777777776
