,au_rand_flooding,duplicated_encapsulated_payload,duplicated_iocap,truncated_sco_link_request,feature_response_flooding,invalid_feature_page_execution,lmp_auto_rate_overflow,lmp_overflow_dm1,truncated_lmp_accepted,invalid_setup_complete,invalid_timing_accuracy
au_rand_flooding,0.9632352941176471,0.0,0.007352941176470588,0.007352941176470588,0.0,0.007352941176470588,0.0,0.0,0.014705882352941176,0.0,0.0
duplicated_encapsulated_payload,0.058823529411764705,0.23529411764705882,0.17647058823529413,0.058823529411764705,0.0,0.23529411764705882,0.058823529411764705,0.0,0.11764705882352941,0.0,0.058823529411764705
duplicated_iocap,0.09523809523809523,0.047619047619047616,0.3333333333333333,0.031746031746031744,0.07936507936507936,0.25396825396825395,0.0,0.0,0.12698412698412698,0.031746031746031744,0.0
truncated_sco_link_request,0.0,0.045454545454545456,0.18181818181818182,0.06060606060606061,0.09090909090909091,0.10606060606060606,0.0,0.0,0.5,0.0,0.015151515151515152
feature_response_flooding,0.0,0.04081632653061224,0.02040816326530612,0.0,0.8979591836734694,0.0,0.0,0.0,0.02040816326530612,0.02040816326530612,0.0
invalid_feature_page_execution,0.04878048780487805,0.0,0.1951219512195122,0.07317073170731707,0.04878048780487805,0.17073170731707318,0.07317073170731707,0.04878048780487805,0.34146341463414637,0.0,0.0
lmp_auto_rate_overflow,0.06451612903225806,0.06451612903225806,0.06451612903225806,0.03225806451612903,0.16129032258064516,0.06451612903225806,0.03225806451612903,0.06451612903225806,0.3870967741935484,0.0,0.06451612903225806
lmp_overflow_dm1,0.05263157894736842,0.05263157894736842,0.13157894736842105,0.10526315789473684,0.13157894736842105,0.13157894736842105,0.02631578947368421,0.05263157894736842,0.2894736842105263,0.0,0.02631578947368421
truncated_lmp_accepted,0.0,0.0,0.018518518518518517,0.1111111111111111,0.12962962962962962,0.07407407407407407,0.0,0.0,0.6666666666666666,0.0,0.0
invalid_setup_complete,0.0,0.0,0.0625,0.0,0.25,0.0625,0.0,0.0625,0.4375,0.125,0.0
invalid_timing_accuracy,0.027777777777777776,0.05555555555555555,0.1111111111111111,0.05555555555555555,0.16666666666666666,0.1111111111111111,0.027777777777777776,0.05555555555555555,0.3888888888888889,0.0,0.0
