,au_rand_flooding,duplicated_encapsulated_payload,duplicated_iocap,truncated_sco_link_request,feature_response_flooding,invalid_feature_page_execution,lmp_auto_rate_overflow,lmp_overflow_dm1,truncated_lmp_accepted,invalid_setup_complete,invalid_timing_accuracy
au_rand_flooding,0.7573529411764706,0.007352941176470588,0.014705882352941176,0.022058823529411766,0.15441176470588236,0.029411764705882353,0.007352941176470588,0.0,0.007352941176470588,0.0,0.0
duplicated_encapsulated_payload,0.17647058823529413,0.058823529411764705,0.058823529411764705,0.23529411764705882,0.11764705882352941,0.17647058823529413,0.17647058823529413,0.0,0.0,0.0,0.0
duplicated_iocap,0.2222222222222222,0.031746031746031744,0.31746031746031744,0.14285714285714285,0.15873015873015872,0.09523809523809523,0.015873015873015872,0.0,0.015873015873015872,0.0,0.0
truncated_sco_link_request,0.12121212121212122,0.0,0.15151515151515152,0.4393939393939394,0.21212121212121213,0.045454545454545456,0.030303030303030304,0.0,0.0,0.0,0.0
feature_response_flooding,0.04081632653061224,0.02040816326530612,0.0,0.02040816326530612,0.8775510204081632,0.0,0.02040816326530612,0.0,0.02040816326530612,0.0,0.0
invalid_feature_page_execution,0.12195121951219512,0.0,0.21951219512195122,0.24390243902439024,0.2682926829268293,0.07317073170731707,0.07317073170731707,0.0,0.0,0.0,0.0
lmp_auto_rate_overflow,0.16129032258064516,0.03225806451612903,0.0,0.3225806451612903,0.3870967741935484,0.0,0.0967741935483871,0.0,0.0,0.0,0.0
lmp_overflow_dm1,0.2894736842105263,0.0,0.02631578947368421,0.18421052631578946,0.2894736842105263,0.13157894736842105,0.05263157894736842,0.0,0.0,0.0,0.02631578947368421
truncated_lmp_accepted,0.05555555555555555,0.0,0.037037037037037035,0.5,0.35185185185185186,0.018518518518518517,0.018518518518518517,0.0,0.018518518518518517,0.0,0.0
invalid_setup_complete,0.1875,0.0,0.0625,0.4375,0.25,0.0,0.0,0.0,0.0625,0.0,0.0
invalid_timing_accuracy,0.19444444444444445,0.0,0.027777777777777776,0.3333333333333333,0.3055555555555556,0.05555555555555555,0.08333333333333333,0.0,0.0,0.0,0.0
