,au_rand_flooding,duplicated_encapsulated_payload,duplicated_iocap,truncated_sco_link_request,feature_response_flooding,invalid_feature_page_execution,lmp_auto_rate_overflow,lmp_overflow_dm1,truncated_lmp_accepted,invalid_setup_complete,invalid_timing_accuracy
au_rand_flooding,131,0,1,1,0,1,0,0,2,0,0
duplicated_encapsulated_payload,1,3,3,1,0,4,2,0,2,0,1
duplicated_iocap,9,2,24,1,5,11,1,0,8,2,0
truncated_sco_link_request,0,2,15,4,6,3,1,1,33,0,1
feature_response_flooding,0,2,2,0,43,0,0,0,1,1,0
invalid_feature_page_execution,1,0,10,5,2,4,1,2,15,0,1
lmp_auto_rate_overflow,4,1,3,3,5,1,0,1,12,0,1
lmp_overflow_dm1,1,0,5,3,5,6,2,1,11,1,3
truncated_lmp_accepted,0,0,1,6,8,2,1,0,36,0,0
invalid_setup_complete,0,0,1,0,4,2,0,0,7,2,0
invalid_timing_accuracy,4,1,4,3,6,3,0,2,13,0,0
