,au_rand_flooding,duplicated_encapsulated_payload,duplicated_iocap,truncated_sco_link_request,feature_response_flooding,invalid_feature_page_execution,lmp_auto_rate_overflow,lmp_overflow_dm1,truncated_lmp_accepted,invalid_setup_complete,invalid_timing_accuracy
au_rand_flooding,132,0,1,0,0,0,0,1,2,0,0
duplicated_encapsulated_payload,1,4,1,3,0,3,2,0,2,0,1
duplicated_iocap,6,3,17,9,6,13,1,0,8,0,0
truncated_sco_link_request,0,2,9,9,6,5,1,0,33,0,1
feature_response_flooding,1,1,1,1,43,0,0,0,1,1,0
invalid_feature_page_execution,2,0,8,6,2,4,1,2,14,0,2
lmp_auto_rate_overflow,2,2,3,2,4,2,0,1,12,0,3
lmp_overflow_dm1,1,1,2,9,5,5,0,2,10,0,3
truncated_lmp_accepted,0,0,1,6,7,3,1,0,36,0,0
invalid_setup_complete,0,1,0,0,4,0,0,1,7,2,1
invalid_timing_accuracy,1,1,4,4,6,3,0,3,13,0,1
