,au_rand_flooding,duplicated_encapsulated_payload,duplicated_iocap,truncated_sco_link_request,feature_response_flooding,invalid_feature_page_execution,lmp_auto_rate_overflow,lmp_overflow_dm1,truncated_lmp_accepted,invalid_setup_complete,invalid_timing_accuracy
au_rand_flooding,131,0,1,1,0,1,0,0,2,0,0
duplicated_encapsulated_payload,1,4,3,1,0,4,1,0,2,0,1
duplicated_iocap,6,3,21,2,5,16,0,0,8,2,0
truncated_sco_link_request,0,3,12,4,6,7,0,0,33,0,1
feature_response_flooding,0,2,1,0,44,0,0,0,1,1,0
invalid_feature_page_execution,2,0,8,3,2,7,3,2,14,0,0
lmp_auto_rate_overflow,2,2,2,1,5,2,1,2,12,0,2
lmp_overflow_dm1,2,2,5,4,5,5,1,2,11,0,1
truncated_lmp_accepted,0,0,1,6,7,4,0,0,36,0,0
invalid_setup_complete,0,0,1,0,4,1,0,1,7,2,0
invalid_timing_accuracy,1,2,4,2,6,4,1,2,14,0,0
